variable,mean(|SHAP|),gain,weight
EMPLOY1_5.0,0.0068226102739572525,11.260251248157893,38.0
EMPLOY1_6.0,0.006688092369586229,11.880362059090908,11.0
EMPLOY1_2.0,0.006592126097530127,8.072776582083334,24.0
_METSTAT,0.006093225441873074,7.599456712142856,49.0
COPDBRTH,0.005995015148073435,8.009437977352938,34.0
EDUCA_5.0,0.0057512316852808,5.874365693625001,32.0
LASTPAP2_1.0,0.005696089938282967,8.5938590969,20.0
_RFPAP34,0.005612270440906286,9.186853300422536,71.0
LASTSMK2_5.0,0.005502757150679827,13.310847967826088,23.0
_RACE_2.0,0.005369674880057573,12.276232543437503,32.0
COPDSMOK,0.005228260066360235,7.915941607555553,135.0
CHECKUP1_3.0,0.005056630354374647,9.040833888181817,11.0
HADHYST2,0.0049337646923959255,8.520936786923077,39.0
SO_2.0,0.004799764137715101,7.64237823,29.0
_RFMAM21,0.004781746305525303,10.672334891823532,51.0
LASTPAP2_5.0,0.004723180551081896,6.498778410000001,26.0
_STATE_8.0,0.004609514027833939,9.943773382500002,12.0
DRNK3GE5,0.004545174539089203,9.966847597346936,49.0
_ASTHMS1_2.0,0.004481757991015911,9.526416295555556,27.0
PSATEST1,0.004404882434755564,13.594323503571427,28.0
EDUCA_4.0,0.00431246729567647,6.431665210625,32.0
EDUCA_2.0,0.004214364103972912,13.466839048181818,22.0
LASTSIG3_1.0,0.004109992645680904,7.810100712555557,18.0
MARITAL_2.0,0.004061986692249775,7.6913323839210515,38.0
_STATE_48.0,0.004034297540783882,9.891877951818183,22.0
_STATE_21.0,0.004005274269729853,9.36731530388889,18.0
INCOME2_4.0,0.003912762273102999,7.9021306389999975,20.0
_AGEG5YR_5.0,0.0038984622806310654,10.611611986206897,29.0
INCOME2_3.0,0.003819484729319811,8.142374533999996,25.0
PCPSARS1_2.0,0.0036593955010175705,7.959410918666666,15.0
HADSGCO1,0.003491215640679002,7.8581777970000015,28.0
_STATE_55.0,0.0034557816106826067,7.627278270833333,12.0
LASTPAP2_3.0,0.003431933233514428,8.740502337692307,13.0
_STATE_18.0,0.003391288686543703,8.163625464117647,17.0
_STATE_15.0,0.003326976904645562,9.361132420666667,15.0
MARITAL_3.0,0.0032786524388939142,7.356052946000001,20.0
_RACE_3.0,0.0032303195912390947,11.363867002727273,22.0
MSCODE_5.0,0.0031813376117497683,5.931590868999999,20.0
VETERAN3,0.0031144137028604746,8.434244992499998,36.0
IDAY_b'09',0.0030824439600110054,8.032391257058821,17.0
_STATE_45.0,0.0029739991296082735,7.401873143125002,16.0
_STATE_4.0,0.0028518494218587875,9.491102000666666,15.0
RMVTETH4_2.0,0.0028248277958482504,6.902762286296296,27.0
MARITAL_1.0,0.0027738544158637524,7.098853751658534,41.0
_RACE_7.0,0.0027212267741560936,10.133872494,20.0
IMONTH_b'03',0.0027029302436858416,6.19259213,17.0
LCSNUMCG,0.002426714403554797,8.285420660932203,59.0
_CRCREC,0.0024158922024071217,8.771107266249999,32.0
RENTHOM1_1.0,0.00240044086240232,7.097416223259263,27.0
ADDEPEV2,0.0023863976821303368,6.964532611563043,46.0
SEATBELT_5.0,0.0022537526674568653,7.531109265238096,21.0
_STATE_56.0,0.002239398891106248,5.8183429066666665,9.0
LASTSIG3_5.0,0.002223904011771083,8.012180269285714,14.0
_FOBTFS,0.0021921470761299133,9.641648705714287,14.0
NUMPHON3,0.0021425755694508553,6.97844118868421,38.0
MARITAL_5.0,0.00214031501673162,8.464651514,20.0
IMONTH_b'10',0.0021172594279050827,6.667704747599999,25.0
PSATIME_1.0,0.0020853946916759014,7.6871620117647055,17.0
DELAYME1_8.0,0.0020387470722198486,6.608447788333334,6.0
_STATE_1.0,0.001985893351957202,7.1841868481818185,11.0
IMONTH_b'11',0.001974712358787656,6.398054880117647,17.0
_STATE_19.0,0.001957832369953394,5.854205523333333,6.0
CNCRAGE,0.001942681148648262,7.381395674352541,59.0
PERSDOC2_2.0,0.0019030829425901175,7.320344642352942,17.0
ECIGNOW_2.0,0.001860657474026084,4.975841664000001,5.0
_MAM5022,0.0018306492129340768,7.441268134371426,35.0
LCSLAST,0.0018208544934168458,7.539665001466668,75.0
SMOKDAY2_2.0,0.0018031051149591804,7.604795382307691,13.0
COPDBTST,0.001791620161384344,6.169837479109998,20.0
_STATE_46.0,0.0017755364533513784,8.6435216,10.0
_STATE_49.0,0.0017442114185541868,5.335290431428571,14.0
LASTPAP2_2.0,0.0017370692221447825,7.09406059117647,17.0
LASTDEN4_8.0,0.001731368014588952,11.520048702222223,9.0
USENOW3_2.0,0.0017274926649406552,10.458521965000001,12.0
CHECKUP1_2.0,0.0017166894394904375,8.938508216923077,13.0
RCSRLTN2_1.0,0.001708737458102405,8.084775679473685,19.0
DIFFALON,0.0016505209496244788,6.847313976842105,38.0
LASTDEN4_2.0,0.001646266202442348,6.9042473416,25.0
HOWLONG_5.0,0.0016436207806691527,6.820995004375,16.0
PCPSARS1_4.0,0.001608563936315477,7.045767125,18.0
_STATE_72.0,0.0015899521531537175,8.873719727692308,13.0
RCSGENDR,0.0015593068674206734,7.726523904411766,34.0
_CHISPNC,0.0015086644561961293,7.862179937586208,29.0
LASTSMK2_1.0,0.0014068962773308158,6.865404148333333,12.0
_STATE_50.0,0.0014007178833708167,6.5403858885714286,7.0
LASTSIG3_4.0,0.001398082822561264,7.347288134444444,18.0
_STATE_53.0,0.0013940960634499788,6.788277687500001,8.0
IMFVPLAC_6.0,0.001364701776765287,8.833643738461538,13.0
_STATE_26.0,0.001348642399534583,5.497126722,5.0
_FS5YR,0.0013483758084475994,7.379067966190478,21.0
_HFOB3YR,0.0013466795207932591,5.848220358461537,26.0
HLTHCVR1_4.0,0.0013161527458578348,7.233084900000001,9.0
_STATE_39.0,0.0012946792412549257,9.241861515714286,14.0
IMONTH_b'09',0.0012758917873725295,6.232428213529411,17.0
_STATE_17.0,0.0012757673393934965,7.306760226250001,8.0
LSTBLDS3_1.0,0.0012720732484012842,10.221387176666667,9.0
IMONTH_b'08',0.0012642546789720654,6.421727490100001,20.0
_BMI5CAT_3.0,0.0012541511096060276,6.484016421856957,23.0
LCSFIRST,0.0012487571220844984,7.538190686000002,40.0
_STATE_35.0,0.0012434551026672125,8.033035415714286,7.0
LASTDEN4_3.0,0.0012387712486088276,7.324158514799999,25.0
IMFVPLAC_3.0,0.001216565608046949,7.787439404625001,16.0
NUMHHOL3,0.001196199213154614,7.9557121880000015,21.0
CASTHDX2,0.0011926633305847645,6.928944434000001,15.0
_STATE_11.0,0.001126713352277875,4.635133454,5.0
SMOKDAY2_3.0,0.0011064584832638502,5.252569140619048,21.0
HOWLONG_4.0,0.0010952465236186981,4.843582202,5.0
IMONTH_b'07',0.0010946323163807392,6.341110199375,16.0
_URBSTAT,0.0010935275349766016,6.264878663086957,23.0
LASTSMK2_4.0,0.0010870906990021467,8.211842912352942,17.0
_AGEG5YR_8.0,0.0010635523358359933,7.636608854666666,15.0
_STATE_12.0,0.0010405376087874174,8.497623875454547,11.0
IDAY_b'15',0.0010101502994075418,7.487359916666667,6.0
DECIDE,0.0010036288294941187,6.907653905146341,41.0
HLTHCVR1_7.0,0.000984669546596706,8.664813395000001,10.0
_RACE_6.0,0.0009652272565290332,8.832011483636363,11.0
IDAY_b'26',0.000958443502895534,7.343995130769231,13.0
_CRACE1_1.0,0.0009235417819581926,4.639293339818182,11.0
_RFDRHV6,0.0008943152497522533,7.603417028888889,9.0
CASTHNO2,0.0008855724008753896,8.761841802,15.0
HPLSTTST_5.0,0.0008775002788752317,7.133082634999999,8.0
HLTHPLN1,0.000862211687490344,6.6054761528,25.0
LASTPAP2_4.0,0.0008620040607638657,7.653399133000001,10.0
IMONTH_b'05',0.0008339163614436984,7.433821559999999,12.0
LCSCTSCN_2.0,0.0008272459963336587,8.264441575294118,17.0
SEATBELT_2.0,0.0008228126098401845,6.895642905454546,11.0
_CRACE1_3.0,0.0007841818733140826,12.875520788333333,6.0
PCPSARS1_5.0,0.0007829330279491842,9.105860759,10.0
_RFBING5,0.0007822514162398875,8.513170432999999,10.0
ECIGNOW_3.0,0.0007817093282938004,7.850587416022222,18.0
_BMI5CAT_2.0,0.0007748600328341126,7.655999527142858,7.0
MSCODE_2.0,0.0007738599670119584,7.625846152214287,14.0
NUMBURN3,0.0007642086129635572,6.557358024607142,28.0
_STATE_32.0,0.000759499438572675,5.696546195,4.0
LASTSIG3_3.0,0.0007584645645692945,8.79606958,13.0
_SMOKER3_4.0,0.0007389656384475529,6.854590083738889,18.0
MEDICARE,0.0007388977101072669,7.492410489999998,11.0
INCOME2_2.0,0.0007373817497864366,6.62834120047619,21.0
IYEAR_b'2018',0.0007321257144212723,5.384992861,10.0
CIMEMLOS,0.0007294152164831758,7.787171526666666,6.0
PSATIME_3.0,0.0007208753959275782,6.418945154999999,6.0
CSRVRTRN,0.0007158221560530365,6.2249017277777785,9.0
_STATE_66.0,0.0007125935517251492,10.392951151000002,10.0
_STATE_20.0,0.0006898064748384058,7.600703481249999,8.0
IMONTH_b'04',0.000683874124661088,6.921866227777777,18.0
_STATE_31.0,0.0006672813906334341,6.669105800714286,14.0
IDAY_b'07',0.0006664902321062982,7.621206114705882,17.0
SUNPRTCT_3.0,0.0006654089083895087,4.581715665,6.0
IDAY_b'12',0.0006613566656596959,7.551211618181818,11.0
LASTSMK2_3.0,0.0006577862659469247,6.5004652775,8.0
PSATIME_5.0,0.0006466535851359367,7.530682801666667,6.0
IMONTH_b'02',0.0006458407733589411,7.074272304090909,22.0
MSCODE_3.0,0.000643973529804498,8.899307864000003,15.0
EDUCA_3.0,0.0006252728635445237,8.570382118571427,14.0
LSTBLDS3_5.0,0.0006241764058358967,7.409571783571428,14.0
IDAY_b'20',0.0006182226934470236,8.74118069,7.0
PERSDOC2_1.0,0.0006181886419653893,6.274763207210525,19.0
_STATE_27.0,0.0006131676491349936,7.5570703725,8.0
HLTHCVR1_6.0,0.0006084865890443325,8.509801186666667,15.0
SHINGLE2,0.0006042092572897673,7.362266018387096,31.0
EMPLOY1_3.0,0.0005909903557039797,8.017253776999999,10.0
IMONTH_b'12',0.0005678373854607344,5.645632028285715,21.0
_AGEG5YR_6.0,0.0005609383224509656,6.6609208650000005,8.0
TRNSGNDR_4.0,0.000558109546545893,5.418215701100001,20.0
HOWLONG_2.0,0.0005533099756576121,6.9157218899999995,8.0
_CRACE1_7.0,0.000553242105524987,10.192612018888887,9.0
CARERCVD_1.0,0.0005515292868949473,7.95179623125,8.0
IDAY_b'10',0.0005439998349174857,7.283506764444444,9.0
IDAY_b'14',0.0005411039455793798,6.058282453333335,12.0
_RACE_5.0,0.0005398261710070074,7.91456231,6.0
MARITAL_6.0,0.0005381734808906913,8.585717334181819,11.0
IDAY_b'24',0.0005168241914361715,6.086384625,8.0
EDUCA_1.0,0.0005070182378403842,9.002956005454546,11.0
_STATE_6.0,0.0005025240825489163,8.920145193333333,9.0
INDORTAN,0.0004945948603563011,8.033236393333333,9.0
MSCODE_1.0,0.0004863832436967641,6.2607709342857145,14.0
MEDBILL1,0.00048512680223211646,5.550874978375,16.0
INCOME2_7.0,0.0004722787416540086,6.862562917272727,11.0
HOWLONG_1.0,0.0004697470576502383,6.495111869285714,14.0
IDAY_b'28',0.0004572046746034175,9.241651061999999,5.0
IDAY_b'05',0.00044979245285503566,7.754182447777779,9.0
RSNMRJN1_3.0,0.0004439613258000463,5.149913073333334,3.0
SMOKDAY2_1.0,0.00044385591172613204,6.38944350736842,19.0
CARERCVD_2.0,0.0004393522394821048,6.79026564,6.0
SEATBELT_4.0,0.0004353405092842877,9.502761828,5.0
DELAYME1_2.0,0.00043039585580118,9.62773753,4.0
COPDCOGH,0.000419915362726897,6.135416087058822,17.0
TETANUS1_4.0,0.00041621332638897,8.323048836666667,6.0
INCOME2_1.0,0.00041405155207030475,7.733880011333334,15.0
IDAY_b'25',0.0004105367697775364,8.281274657,10.0
SUNPRTCT_5.0,0.0004083111125510186,5.217155815,4.0
IDAY_b'22',0.00039823728729970753,6.7372994475,8.0
IDAY_b'08',0.00039660726906731725,6.84388582923077,13.0
SLEPSNO2,0.0003893449902534485,7.7264604175,12.0
HPVADVC2_2.0,0.0003891768865287304,8.465491302857144,7.0
HPLSTTST_2.0,0.00038391374982893467,8.073446473,10.0
HPLSTTST_1.0,0.00038193509681150317,7.906592985833332,12.0
ADSLEEP,0.0003780476690735668,8.580857196666669,12.0
SLEPDAY1,0.00037415820406749845,9.331212823636363,11.0
IMONTH_b'01',0.0003726340946741402,6.223126413076924,13.0
CSRVPAIN,0.0003686335985548794,5.272291063333333,6.0
_STATE_54.0,0.00036845175782218575,10.64791713,10.0
HOWLONG_3.0,0.00036390736931934953,9.07880067888889,9.0
COPDFLEM,0.0003606523387134075,6.830076257857145,14.0
WKENDOUT_5.0,0.0003603030345402658,6.126838828,5.0
INCOME2_6.0,0.0003535064170137048,5.548070272,15.0
LASTSIG3_6.0,0.00034948508255183697,9.016937588571428,7.0
PCPSARS1_1.0,0.0003456662525422871,6.865523635833333,12.0
_STATE_13.0,0.0003439216816332191,6.222999214625,8.0
LASTSIG3_2.0,0.0003423331363592297,4.884217874999999,14.0
CARERCVD_3.0,0.000337222998496145,7.747736095,4.0
IDAY_b'04',0.000335869932314381,7.9039059387499995,8.0
PROFEXAM,0.0003329599858261645,8.189795189090908,11.0
_STATE_23.0,0.00032988443854264915,8.892789988333334,6.0
_STATE_22.0,0.00032620789716020226,5.576551915,4.0
IMFVPLAC_8.0,0.0003124392533209175,7.095015050000001,5.0
HLTHCVR1_3.0,0.00031201873207464814,6.998866831428571,7.0
INCOME2_5.0,0.0003049375372938812,7.248415398125001,16.0
IDAY_b'03',0.0003003811580128968,10.395032514,5.0
CSRVDOC1_2.0,0.00029881534283049405,7.195932781666667,6.0
NOCOV121,0.00029272225219756365,5.378295516,5.0
IDAY_b'23',0.0002895516809076071,8.133673483750002,8.0
_STATE_30.0,0.000286377762677148,9.089204788333333,6.0
LSTBLDS3_4.0,0.0002834058250300586,5.92002344,2.0
_STATE_51.0,0.0002826198178809136,7.39433165,5.0
_STATE_47.0,0.000281692948192358,11.91848948,2.0
PSATIME_2.0,0.00028141765506006777,7.0615182449999985,8.0
_STATE_36.0,0.000280562526313588,7.37984467,8.0
SLEPBRTH,0.0002786482800729573,6.974334396666667,3.0
IDAY_b'21',0.00027783471159636974,6.438256696363635,11.0
SO_3.0,0.00027536682318896055,8.134635805,4.0
_STATE_16.0,0.0002721445634961128,7.790650176,5.0
LSTBLDS3_2.0,0.00026434267056174576,9.531426965714285,7.0
WKENDOUT_1.0,0.00026231538504362106,7.06787338875,8.0
IMONTH_b'06',0.00026199224521405995,6.537247880666667,15.0
IDAY_b'02',0.00026157041429542005,7.467790327142858,7.0
_STATE_24.0,0.0002591014199424535,6.957232132727273,11.0
SUNPRTCT_1.0,0.0002578401763457805,5.89254304875,8.0
_STATE_42.0,0.0002560611756052822,8.42504961,3.0
IDAY_b'31',0.0002551637007854879,6.20231366125,8.0
RENTHOM1_3.0,0.0002549988857936114,5.7079402690909085,11.0
HPLSTTST_3.0,0.00024345546262338758,7.1375618716666684,6.0
HLTHCVR1_5.0,0.0002410262095509097,10.436076193333333,3.0
_STATE_2.0,0.0002402728277957067,13.1535104,3.0
STATERE,0.0002390493027633056,6.879899365714286,7.0
PCPSARS1_3.0,0.0002381569502176717,6.770701611428571,7.0
WKDAYOUT_7.0,0.000233031518291682,3.088618635,2.0
CNCRTYP1_1.0,0.00023170319036580622,7.39080186,6.0
LASTSMK2_6.0,0.0002296827151440084,7.444373688333333,6.0
USENOW3_3.0,0.00022901540796738118,6.453562125454545,11.0
IDAY_b'30',0.00022351715597324073,7.8666123,7.0
_STATE_29.0,0.00022062291100155562,6.150510153333333,6.0
_STATE_40.0,0.0002162117452826351,9.19802307,2.0
IDAY_b'17',0.00021344538254197687,6.690041892000001,10.0
CSRVINST,0.0002109949418809265,6.536044937142857,7.0
SEATBELT_3.0,0.0002101240388583392,6.257836628,5.0
IDAY_b'13',0.00020684262563008815,8.975771377000001,10.0
WKDAYOUT_4.0,0.0002057147939922288,6.6409581754545455,11.0
TETANUS1_3.0,0.00020300694450270385,7.330380726,5.0
MARITAL_4.0,0.0002014078345382586,5.7194221844444435,9.0
_CRACE1_2.0,0.00020004915131721646,6.9625481942857155,7.0
IDAY_b'06',0.0001998980005737394,7.2680795542857135,7.0
_STATE_38.0,0.00019845092901960015,7.219620465,4.0
IDAY_b'29',0.00019640167010948062,8.6405722075,4.0
_STATE_33.0,0.00019099950441159308,8.812474016666668,6.0
SO_4.0,0.00018941903545055538,8.14936304,5.0
RCSRLTN2_2.0,0.00018516629643272609,7.754832104444445,9.0
IDAY_b'27',0.00018449749040883034,7.10354491,6.0
CNCRDIFF_1.0,0.00017681055760476738,7.919250759999999,7.0
CELLFON5,0.00017559586558490992,6.798722586666666,3.0
IDAY_b'19',0.00017495476640760899,6.732094287,10.0
_CRACE1_6.0,0.0001722691231407225,7.794625625714285,7.0
USEMRJN2_6.0,0.0001719638385111466,6.1487094566666665,3.0
WKENDOUT_4.0,0.00016912216960918158,2.79432511,1.0
DELAYME1_5.0,0.00016704232257325202,6.603208062,5.0
DELAYME1_3.0,0.00016252885689027607,8.6551008175,4.0
IDAY_b'18',0.0001591207110323012,7.185805948333333,6.0
_STATE_37.0,0.0001545364793855697,10.18297672,4.0
PSATIME_4.0,0.0001545205741422251,6.5901656200000005,6.0
RCSRLTN2_3.0,0.00015023292507976294,6.288309573333334,3.0
IDAY_b'01',0.00014695656136609614,6.757303521999999,5.0
_STATE_28.0,0.00014461259706877172,6.44900942,1.0
USENOW3_1.0,0.00014345433737616986,11.28727223,4.0
_STATE_25.0,0.00013592596224043518,6.669034956,5.0
WKDAYOUT_3.0,0.00012766766303684562,10.175637250000001,2.0
WKDAYOUT_5.0,0.00012611053534783423,2.52117419,1.0
TETANUS1_2.0,0.00011670882668113336,6.78163844625,8.0
_STATE_44.0,0.00011561335122678429,8.127934466666666,3.0
HLTHCVR1_1.0,0.00011172932863701135,8.60450077,1.0
LSTCOVRG_4.0,0.00011157516564708203,9.1954994,2.0
EMPLOY1_4.0,0.00011132290092064068,5.4561958299999995,7.0
CSRVCTL1_2.0,0.00010847546218428761,4.231487116666667,3.0
IMFVPLAC_4.0,0.00010718210251070559,8.64787793,4.0
USEMRJN2_2.0,0.00010539470531512052,5.89312458,1.0
CNCRTYP1_24.0,0.00010251475760014728,3.593512216666666,3.0
TRNSGNDR_1.0,8.984182204585522e-05,13.70523455,2.0
IDAY_b'16',8.868997247191146e-05,7.516286015,4.0
CSRVTRT2_5.0,8.783902012510225e-05,8.945738466666667,3.0
LASTSMK2_2.0,8.74859033501707e-05,8.63564491,4.0
TETANUS1_1.0,8.555195381632075e-05,7.549541715,2.0
HLTHCVR1_8.0,8.274268475361168e-05,4.58033188,3.0
WKDAYOUT_2.0,8.16388419480063e-05,7.48299837,4.0
LSTCOVRG_3.0,8.151523798005655e-05,5.01287603,1.0
LCSCTSCN_3.0,8.104039443423972e-05,7.461746418571429,7.0
PCPSADE1_2.0,8.035438804654405e-05,4.65305698,2.0
_STATE_41.0,7.940193609101698e-05,5.94136429,2.0
WKDAYOUT_6.0,7.87174649303779e-05,7.4601845749999995,2.0
RSNMRJN1_1.0,7.747257041046396e-05,8.09843286,3.0
WKDAYOUT_1.0,7.66241064411588e-05,6.058657335333334,3.0
HPLSTTST_4.0,7.572006870759651e-05,9.460205085,2.0
IDAY_b'11',6.9505549618043e-05,6.497896669999999,2.0
CNCRTYP1_30.0,6.24503954895772e-05,6.99857497,2.0
LENGEXAM_1.0,6.063947512302548e-05,6.725232916666667,3.0
PCPSADE1_3.0,5.685055293724872e-05,7.903409005,2.0
USEMRJN2_1.0,5.677035733242519e-05,7.33954493,3.0
IMFVPLAC_2.0,5.5095035349950194e-05,6.287413595,2.0
CHECKUP1_8.0,5.4886433645151556e-05,9.47023392,1.0
DELAYME1_6.0,5.3704283345723525e-05,8.515587329999999,2.0
CSRVSUM,5.286874875309877e-05,7.682042597499999,4.0
IMFVPLAC_7.0,5.167289782548323e-05,5.1403718,1.0
WKENDOUT_3.0,5.1186631026212126e-05,8.92825634,3.0
HPVADVC2_1.0,4.589513991959393e-05,6.21176147,1.0
TRNSGNDR_2.0,4.5891632908023894e-05,5.61661673,1.0
LSTBLDS3_3.0,4.539729707175866e-05,7.7815294249999996,2.0
LSTCOVRG_5.0,4.4712684029946104e-05,9.30045891,1.0
LENGEXAM_5.0,4.44856341346167e-05,10.2623863,1.0
ECIGNOW_1.0,4.42888485849835e-05,5.655644415,2.0
SO_1.0,3.6744204408023506e-05,7.77857661,2.0
USEMRJN2_5.0,3.397280306671746e-05,9.44071579,1.0
CNCRDIFF_2.0,2.8852804462076165e-05,9.74647713,1.0
CNCRTYP1_26.0,2.8669148377957754e-05,2.108216525,2.0
IMFVPLAC_9.0,2.612031858006958e-05,8.55582333,1.0
CDDISCUS,2.6082723707077093e-05,6.669270035,2.0
CSRVTRT2_1.0,2.560346547397785e-05,4.1610248080000005,2.0
CNCRTYP1_18.0,2.4918505005189218e-05,4.47500467,1.0
LSTCOVRG_2.0,2.4242301151389256e-05,7.87464046,1.0
HPVADSHT_2.0,2.186005440307781e-05,9.10772705,1.0
DELAYME1_4.0,2.1586069124168716e-05,6.27111435,1.0
LASTSMK2_8.0,2.081137427012436e-05,6.59042072,1.0
CNCRTYP1_17.0,1.869804509624373e-05,6.37015152,1.0
DELAYME1_1.0,1.854255606303923e-05,10.097393,1.0
HPVADSHT_3.0,1.7701520846458152e-05,4.18441772,1.0
CNCRTYP1_13.0,1.5897223420324735e-05,3.3547420499999996,2.0
IMFVPLAC_11.0,1.548968066344969e-05,6.73692131,1.0
CNCRTYP1_3.0,1.5344779967563227e-05,8.50106335,1.0
LCSCTSCN_1.0,1.0177958756685257e-05,6.35232544,1.0
CSRVDOC1_5.0,1.001408600131981e-05,5.54082584,1.0
CSRVDOC1_10.0,9.721535207063425e-06,2.31679726,1.0
CNCRTYP1_15.0,8.723694008949678e-06,4.84360027,1.0
